rgb(62,27,154)	Soft Bluish Violet 	flower
rgb(59,19,119)	Bradley's Violet	flower
rgb(28,18,104)	Deep Soft Blue-Violet
rgb(36,17,102)	Deep Soft Bluish Violet
rgb(45,16,94)	Dauphin's Violet
rgb(13,6,71)	Dark Soft Blue-Violet
rgb(16,6,68)	Dark Soft Bluish Violet
rgb(26,10,73)	Blanc's Violet
rgb(5,3,14)	Dusky Violet-Blue (1)
rgb(5,5,24)	Dusky Blue-Violet (1)
rgb(10,7,20)	Dusky Violet
rgb(182,184,207)	Pallid Grayish Violet-Blue
rgb(206,203,223)	Pale Campanula Blue 
rgb(194,193,220)	Light Chicory Blue	flower
rgb(141,150,213)	Pale Grayish Violet-Blue
rgb(165,167,218)	Light Campanula Blue 
rgb(151,149,212)	Chicory Blue	flower	
rgb(85,99,202)	Light Grayish Violet-Blue
rgb(114,122,214)	Campanula Blue
rgb(96,88,205)	Deep Chicory Blue
rgb(29,30,145)	Dull Violet-Blue
rgb(41,31,166)	Dull Blue-Violet (1)
rgb(48,28,143)	Dull Bluish Violet (1)
rgb(32,29,105)	Grayish Violet-Blue
rgb(43,34,128)	Grayish Blue-Violet (1)
rgb(46,34,101)	Deep Dull Bluish Violet (1)
rgb(11,10,52)	Dark Dull Violet-Blue
rgb(16,12,61)	Dark Grayish Blue-Violet
rgb(23,16,58)	Dark Dull Bluish Violet
rgb(4,3,9)	Urania Blue
rgb(4,2,12)	Dusky Blue-Violet (2)
rgb(17,15,19)	Plum Purple 	fruit
rgb(213,186,217)	Pale Lavender-Violet
rgb(212,183,230)	Pale Mauve
rgb(225,194,222)	Mauvette
rgb(178,120,224)	Light Lavender-Violet
rgb(184,126,212)	Light Mauve
rgb(208,152,211)	Lilac	flower
rgb(135,66,209)	Lavender-Violet
rgb(148,68,200)	Mauve
rgb(164,73,193)	Chinese Violet
rgb(61,11,115)	Pleroma Violet
rgb(74,15,111)	Manganese Violet
rgb(120,22,113)	Matthews' Purple	person
rgb(30,5,64)	Haematoxylin Violet
rgb(46,9,77)	Litho Purple
rgb(63,17,93)	Petunia Violet	flower
rgb(11,3,27)	Anthracene Violet 
rgb(13,4,23)	Madder Violet 
rgb(23,9,25)	Nigrosin Violet 	
rgb(4,3,8)	Dark Anthracene Violet 	
rgb(5,4,10)	Dark Madder Violet 
rgb(13,11,14)	Dark Nigrosin Violet 
rgb(219,182,210)	Pale Rose-Purple
rgb(231,193,212)	Rosolane Pink
rgb(231,200,206)	Cameo Pink
rgb(218,118,220)	Rose-Purple
rgb(225,136,201)	Pale Rosolane Purple
rgb(223,139,174)	Thulite PInk
rgb(204,78,191)	Liseran Purple
rgb(219,72,172)	Light Rosolane Purple
rgb(219,62,128)	Spinel Pink
rgb(126,8,65)	Magenta
rgb(164,10,59)	Rosolane Purple
rgb(187,18,37)	Spinel Red
rgb(69,5,37)	Dull Magenta Purple
rgb(84,5,32)	Shoenfeld's Purple	person
rgb(80,14,26)	Indian Lake
rgb(37,5,31)	Dull Dark Purple
rgb(35,4,20)	Auricula Purple
rgb(39,9,12)	Dahlia Carmine	flower
rgb(8,3,9)	Dull Dusky Purple
rgb(9,3,5)	Dusky Auricula Purple
rgb(20,12,12)	Dark Maroon-Purple
rgb(212,167,174)	Pale Vinaceous
rgb(230,193,198)	Livid Pink	emotion?
rgb(217,187,176)	Hydrangea Pink	flower
rgb(192,96,108)	Vinaceous
rgb(203,122,128)	Corinthian Pink	place?
rgb(200,126,123)	Pinkish Vinaceous
rgb(191,79,76)	Deep Vinaceous
rgb(207,91,73)	Light Corinthian Red
rgb(190,85,67)	Orange-Vinaceous
rgb(119,22,23)	Dark Vinaceous
rgb(135,28,30)	Corinthian Red
rgb(162,33,25)	Etruscan Red
rgb(86,13,10)	Hydrangea Red	flower
rgb(98,17,14)	Deep Corinthian Red
rgb(119,23,14)	Ocher Red
rgb(48,6,8)	Mineral Red
rgb(53,7,8)	Indian Red
rgb(65,13,9)	Prussian Red
rgb(20,5,5)	Dark Mineral Red
rgb(23,5,6)	Dark Indian Red
rgb(27,7,7)	Haematite Red
rgb(227,189,176)	Pale Congo Pink 
rgb(230,201,190)	Pale Vinaceous-Pink 
rgb(225,203,180)	Shell Pink	 
rgb(220,160,128)	Light Congo Pink 
rgb(226,166,129)	Vinaceous Pink 
rgb(214,158,111)	Buff-Pink
rgb(206,93,56)	Congo Pink 	place
rgb(211,97,53)	Japan Rose
rgb(201,112,61)	Onion-skin Pink	food
rgb(171,46,21)	Terra Cotta
rgb(177,56,26)	Testaceous
rgb(178,70,28)	Vinaceous-Tawny
rgb(111,32,14)	Vinaceous-Russet
rgb(135,39,16)	Cacao Brown	food
rgb(137,58,28)	Pecan Brown	food
rgb(57,18,10)	Cameo Brown	??
rgb(66,19,6)	Walnut Brown	food
rgb(81,43,22)	Rood's Brown	person
rgb(22,11,9)	Chocolate	food
rgb(21,6,5)	Burnt Umber
rgb(36,24,17)	Vandyke Brown
rgb(229,201,178)	Pale Cinnamon-Pink
rgb(234,209,187)	Pale Pinkish Cinnamon
rgb(227,211,181)	Pale Pinkish Buff
rgb(220,158,94)	Light Vinaceous-Cinnamon
rgb(227,183,120)	Light Pinkish Cinnamon
rgb(219,184,115)	Pinkish Buff
rgb(207,111,46)	Vinaceous-Cinnamon
rgb(220,136,55)	Pinkish Cinnamon
rgb(208,149,58)	Cinnamon-Buff
rgb(180,70,14)	Orange-Cinnamon
rgb(190,95,23)	Cinnamon
rgb(175,103,23)	Clay Color
rgb(106,37,10)	Mikado Brown	??
rgb(131,58,14)	Sayal Brown
rgb(134,83,29)	Tawny-Olive
rgb(65,22,6)	Verona Brown
rgb(66,27,7)	Snuff Brown
rgb(71,43,16)	Saccardo's Umber
rgb(21,6,5)	Warm Sepia
rgb(20,6,5)	Bister
rgb(35,25,18)	Sepia
rgb(226,212,171)	Cartridge Buff	??
rgb(229,219,180)	Ivory Yellow	commodity
rgb(232,226,181)	Marguerite Yellow
rgb(213,189,101)	Cream-Buff	food
rgb(218,204,109)	Colonial Buff
rgb(218,212,125)	Primrose Yellow	flower
rgb(202,158,48)	Chemois
rgb(213,192,68)	Deep Colonial Buff
rgb(211,205,82)	Reed Yellow
rgb(160,112,19)	Honey Yellow	food
rgb(176,136,13)	Olive-Ocher	food
rgb(176,171,16)	Olive-Yellow	food
rgb(122,74,12)	Isabella Color	person?
rgb(117,95,16)	Ecru-Olive	food
rgb(119,104,28)	Light Yellowish Olive
rgb(57,34,8)	Light Brownish Olive	food
rgb(66,48,9)	Buffy Olive	person?
rgb(41,38,7)	Yellowish Olive
rgb(14,9,5)	Brownish Olive
rgb(16,13,4)	Olive
rgb(11,12,6)	Dark Greenish Olive
rgb(223,222,177)	Sea-foam Yellow
rgb(225,226,178)	Sea-foam Green 	
rgb(219,221,173)	Pale Glass Green 
rgb(213,211,116)	Chartreuse Yellow
rgb(208,210,114)	Deep Sea-foam Green 
rgb(206,212,129)	Glass Green
rgb(188,191,48)	Citron Green
rgb(182,194,69)	Chrysolite Green
rgb(162,187,85)	Kildare Green
rgb(157,168,33)	Lime Green
rgb(137,169,38)	Deep Chrysolite Green
rgb(131,174,44)	Absinthe Green
rgb(114,113,25)	Mignonette Green
rgb(97,105,24)	Rainette Green
rgb(93,110,29)	Light Cress Green 
rgb(44,46,9)	Krönberg's Green 	
rgb(35,46,7)	Jade Green	
rgb(34,50,9)	Cress Green 
rgb(8,13,5)	Ivy Green 
rgb(7,13,5)	Yew Green 	
rgb(9,17,4)	Dark Cress Green 
rgb(207,211,161)	Pale Turtle Green 
rgb(213,222,187)	Pale Fluorite Green 
rgb(193,204,167)	Pale Olivine	
rgb(180,190,103)	Light Turtle Green 
rgb(190,205,140)	Lgiht Fluorite Green 
rgb(175,195,130)	Olivine
rgb(145,183,69)	Turtle Green
rgb(136,188,86)	Clear Fluorite Green 
rgb(124,174,88)	Malachite Green 
rgb(80,144,47)	Deep Turtle Green
rgb(54,130,56)	Fluorite Green
rgb(69,134,76)	Deep Malachite Green 
rgb(67,92,27)	Chromium Green 
rgb(51,103,33)	Shamrock Green 	flower
rgb(43,89,48)	French Green	place
rgb(29,47,10)	Deep Dull Yellow-Green (1)
rgb(24,50,18)	Deep Dull Yellow-Green (2)
rgb(19,44,25) 	Light Danube Green
rgb(5,10,4)	Dark Dull Yellow-Green
rgb(6,17,6)	Empire Green
rgb(19,29,13)	Danube Green	place?
rgb(190,207,194)	Lichen Green   
rgb(207,215,197)	Pale Glaucous-Green
rgb(194,206,191)	Pale Niagara Green 	place
rgb(159,180,124)	Deep Lichen Green 		
rgb(170,189,160)	Glaucous-Green
rgb(160,187,163)	Light Niagara Green
rgb(127,174,101)	Rejane Green 
rgb(117,163,107)	Deep Glaucous-Green
rgb(120,168,137)	Niagara Green 
rgb(38,92,69)	Montpellier Green 	place
rgb(40,98,83)	Light Porcelain Green 
rgb(49,99,90)	Light Teer Verte	bilingual?
rgb(17,54,39)	Jasper Green 
