biscay bay	#536878
biscay green	#8A9A5B
biscuit	#AE9B82
biscuit	#C2B280
bishop	#604E81
bishop's purple	#915C83
bishop's violet	#9A4EAE
bishop's violet	#915C83
biskra	#483C32
bismarck	#79443B
bismarck brown	#826644
bison	#483C32
bison	#6C541E
bisque	#BFB8A5
bisque	#C7ADA3
bisque	#C2B280
bisque	#958070
bister	#7E6D5A
bister	#483C32
bistre	#7E6D5A
bistre	#8A8776
bistre brown	#867E36
bistre green	#A18F60
bittersweet	#9E4732
bittersweet	#9E4732
bittersweet	#BE6516
bittersweet orange	#BE6516
bittersweet orange	#ED872D
bittersweet orange	#CB6D51
bittersweet pink	#F88379
bittersweet pink	#D99058
bitumen	#483C32
black	#222222
black	#222222
black	#222222
black	#222222
black	#222222
blackberry cream	#D597AE
blackberry wine	#38152C
black boottopping	#222222
black brown	#57554C
black deck	#222222
black forest	#515744
blackish brown	#38152C
blackish brown	#5C504F
blackish brown	#5B504F
blackish green-blue	#004958
blackish green-gray	#222222
blackish mouse-gray	#555555
blackish plumbeous	#51585E
blackish purple	#341731
blackish red	#543D3F
blackish red-purple	#673147
blackish slate	#555555
blackish violet	#554C69
blackish violet-gray	#555555
black knight	#51585E
black olive	#57554C
black plum	#222222
black violet	#38152C
black water	#222222
bladder green	#867E36
blanch	#96DED1
blanc's blue	#436B95
blanc's violet	#50404D
blarney	#007959
blaze blue	#36454F
blaze	#9E4732
blend	#DADFB7
bleu de lyons	#436B95
bleu d'orient	#0067A5
bleu louise	#367588
bleu pass&eacute;	#81878B
blithe	#239EBA
blond	#A18F60
blonde green	#DFEDE8
blondine	#7E6D5A
blonket	#B4BCC0
blood red	#BE0032
blood red	#AB4E52
blossom	#DEA5A4
blossom	#EBE8A4
blossom pink	#DEA5A4
blue	#252440
blue	#436B95
blue	#0067A5
blue	#70A3CC
blue	#4997D0
blue	#30267A
blue	#536878
blue appeal	#BCD4E6
blue ashes	#436B95
blue aster	#436B95
bluebell	#00304E
blue bell	#8791BF
blue bice	#436B95
blue bird	#436B95
bluebird blue	#604E81
blue black	#51585E
blue chill	#BCD4E6
blue danube	#007791
blue dash	#536878
blue day	#C0C8E1
blue devil	#4C516D
blue drab	#4E5755
blue flower	#91A3B0
blue fog	#81878B
blue fox	#5C504F
blue glow	#BCD4E6
